gene
TRMT10C
MRPL18
MDH2
SUPV3L1
CA5A
MRM1
MRPL10
PDK2
MRPL27
ACSF2
MRPL37
DGUOK
SLC25A4
SDHA
MRPL2
MRPS18A
AARS2
PDP1
MRPS16
VDAC2
ACAD8
MRPL54
LONP1
NDUFA11
ACSS1
CYP24A1
MRPL55
MTCH1
GLYATL1
NDUFAB1
AGMAT
GCAT
GFM2
MACROD1
MRPL49
MRPS33
MTHFD2
NAGS
NDUFB7
OGG1
